author_name	author_birth	author_death
Adams, John	1717	1799
Adams, John	1735	1826
Alexander, William	1640	1704
Alexander, William	1688	1730
Alexander, William	1718	1802
Allen, John	1730	1806
Allen, John	1740	1781
Allen, John	NA	NA
Anderson, James	1590	NA
Anderson, James	1680	1739
Anderson, James	1723	1779
Anderson, James	1739	1808
Antraigues, Emmanuel-louis-henri-alexandre De Launay	1681	1751
Antraigues, Emmanuel-louis-henri-alexandre De Launay	1753	1812
Argyll, Archibald Campbell	1598	1661
Argyll, Archibald Campbell	1664	1661
Ashburnham, John	1595	1652
Ashburnham, John	1599	1669
Atholl, John Murray	1551	1602
Atholl, John Murray	1590	1647
Bellamy, D	1748	1836
Bellamy, D	1761	1802
Bingley, William	1584	1652
Bingley, William	1738	1799
Birch, Thomas	1671	1766
Birch, Thomas	1755	1766
Brown, Andrew	1720	1783
Brown, Andrew	1723	1790
Brown, Andrew	1733	1803
Browne, John	1580	1659
Browne, John	1589	1651
Browne, John	NA	NA
Browne, Thomas	1613	1665
Browne, Thomas	1639	1683
Browne, Thomas	NA	1740
Browne, Thomas	NA	NA
Brown, John	1610	1679
Brown, John	1688	NA
Brown, John	1725	1789
Brown, John	1743	1820
Brown, John	NA	NA
Brown, Thomas	1663	1704
Brown, Thomas	1701	1770
Burnet, Gilbert	1643	1715
Burnet, Gilbert	1753	1827
Burnet, Gilbert	NA	NA
Burnet, Thomas	1662	1723
Burnet, Thomas	1694	1753
Burney, Charles	1726	1814
Burney, Charles	1740	1815
Calamy, Edmund	1600	1666
Calamy, Edmund	1691	1760
Camm, John	1599	1672
Camm, John	1716	1757
Cellier, Elizabeth	1620	1688
Cellier, Elizabeth	1621	1678
Chaloner, Thomas	1531	1591
Chaloner, Thomas	1660	1591
Charles	1573	1652
Charles	1599	1622
Charles	1600	1649
Charles	1610	1675
Charles	1650	1733
Charles	1685	1740
Checkley, Samuel	1749	1783
Checkley, Samuel	1751	1779
Church, Benjamin	1702	1782
Church, Benjamin	1710	1785
Clarke, John	1609	1676
Clarke, John	1656	1727
Clarke, John	1694	1751
Clarke, John	1755	1798
Clarke, Samuel	1599	1682
Clarke, Samuel	1675	1729
Clarke, Samuel	1748	1838
Cole, William	1596	1672
Cole, William	1641	1672
Cooke, Edward	1611	1645
Cooke, Edward	1755	1820
Cooke, Edward	NA	1585
Cooke, Edward	NA	NA
Cornwallis, Charles	1637	1700
Cornwallis, Charles	1738	1805
Cotton, John	1601	1647
Cotton, John	1632	1752
Cotton, John	1704	1789
Cox, Richard	1654	1720
Cox, Richard	1702	1766
Crouch, Humphrey	1603	1642
Crouch, Humphrey	1607	1677
Crouch, Nathaniel	1567	1622
Crouch, Nathaniel	1632	1752
D	1562	1667
D	1748	1817
D	NA	NA
Dauncey, John	1636	1713
Dauncey, John	1650	1654
Davies, John	1625	1693
Davies, John	1640	1697
Delamer, George Booth	1500	1558
Delamer, George Booth	1643	1558
Dickinson, Jonathan	1533	1603
Dickinson, Jonathan	1763	1794
Disney, John	1657	1757
Disney, John	1756	1804
Du Moulin, Lewis	1606	1674
Du Moulin, Lewis	1653	1727
Duncan, Alexander	1708	1816
Duncan, Alexander	1753	1795
