publication_place	country	Count
Total count: 	45647	
Abbeville	France	    2
Aberdeen	Scotland	  801
Albany NY	USA	    4
Aldermanbury	England	    1
Alexandria Va	USA	   37
Alnwick	England	    2
Altmore	Northern Ireland	    1
Altona	Germany	    2
America	USA	    1
Amherst NH	USA	    6
Amsterdam	Netherlands	   37
Amwythig	England	    2
Andover Ma	USA	    1
Annapolis Md	USA	    4
Antwerp	Belgium	   30
Augusta	USA	    1
Augusta Me	USA	    1
Ayr	Scotland	    1
Baltimore Md	USA	    3
Basel	Switzerland	   34
Basseterre Saint Kitts	Saint Kitts and Nevis	  193
Bath	England	   45
Bath NY	USA	    6
Belfast	Northern Ireland	  170
Bennington Vt	USA	    2
Berlin	Germany	   27
Bern	Switzerland	    5
Beverley	England	    1
Birmingham	England	  196
Bishopstone	England	   17
Blackburn	England	   72
Bolton	England	  495
Bombay	India	    2
Boston england	England	    2
Boston Ma	USA	  865
Bottisham	England	    5
Bouillon	Belgium	    1
Boulogne	France	    1
Brattleborough vt	USA	    1
Bridgeton nj	USA	    4
Bridgetown	Barbados	   51
Bridgnorth	England	    4
Bristol	England	   19
Brookfield Ma	USA	    2
Brussels	Belgium	    1
Buckden	England	    1
Burlington NJ	USA	    4
Burlington Vt	USA	   10
Burnley	England	    2
Bury	England	    3
Bury St Edmunds	England	   20
Caen	France	    8
Caerfyrddin	England	    4
Caernarfon	England	    2
Calcutta	India	    7
Cambridge	England	   42
Cambridge Ma	USA	   32
Campbeltown	Scotland	    1
Canterbury	England	    7
Canterbury NH	USA	    5
Cap-Haitien	Haiti	    2
Carlisle	England	   10
Cashel	Ireland	    1
Chambersburg Pa	USA	    1
Charleston SC	USA	   62
Charlottesville va	USA	   10
Charlottetown	Canada	   14
Chatham	England	    1
Chatham nj	USA	    1
Chelmsford	England	   19
Chelmsford Ma	USA	    1
Chelsea	England	    2
Cheshire Ct	USA	    1
Chester	England	   20
Chesterfield	England	    1
Chillicothe Oh	USA	    2
Cincinnati Oh	USA	    4
Cirencester	England	    3
Clonmel	Ireland	    1
Colchester	England	    6
Cologne	Germany	    6
Columbia SC	USA	    1
Concord Ma	USA	    2
Concord NH	USA	    2
Cork	Ireland	   12
Coventry	England	   13
Danbury Ct	USA	    1
Danvers Ma	USA	    4
Darlington	England	    3
Daventry	England	    1
Dedham Ma	USA	    1
Delft	Netherlands	    5
Derby	England	    4
Devizes	England	    5
Doncaster	England	    3
Dorchester	England	    2
Dort	Netherlands	    1
Douai	France	    6
Dover	England	    1
Dover NH	USA	    1
Downpatrick	Ireland	    2
Drogheda	Ireland	    4
Dublin	Ireland	 2992
Dumfries	Scotland	    3
Dunbar	Scotland	    1
Dundee	Scotland	    1
Durham	England	    6
Easton Pa	USA	    1
Edenton NC	USA	    1
Edinburgh	Scotland	 2749
Egham	England	    1
Elizabeth NJ	USA	   60
Elizabethtown Md	USA	    3
Emden	Germany	    2
Ennis	Ireland	    1
Ephrata Pa	USA	    4
Eton	England	    2
Europe	Ambiguous	    1
Evesham	England	    2
Exeter	England	   42
Fishkill NY	USA	    4
Florence	Italy	    1
Frankfurt	Germany	    8
Frederick md	USA	    3
Fredericktown Md	USA	    1
Fredericton	Canada	    2
Fredicksburg Va	USA	    5
Fryeburg Me	USA	    1
Gainsborough	England	    2
Galway	Ireland	    3
Gaunt	unknown	    1
Gdansk	Poland	    1
Geneva	Switzerland	    3
Geneva NY	USA	    1
Germantown Pa	USA	    4
Ghent	Belgium	    4
Gilmanton NH	USA	    2
Glasgow	Scotland	   53
Gloucester	England	    9
Gloucester Ma	USA	    1
Gothenburg	Sweden	    2
Gouda	Netherlands	    4
Greenfield Ma	USA	   11
Greenock	Scotland	    1
