Name	Count
Total count: 	n= 2156  ( 100 % non-NA values)
New London CT	1011
Rouen	 271
Litchfield CT	 246
n p	  81
Mass	  55
West Springfield MA	  21
abroad	  21
hamilton	  19
gottingen	  17
london̄	  16
neuchâtel	  13
providentiæ	  12
lond	  12
St Pierre Martinique	   8
prs	   8
North	   8
cantebrigiæ	   8
bristoliæ	   8
bathoniæ	   8
goettingen	   7
londo⁻n	   6
great britain	   6
zürich	   5
oxoniê	   5
hägerstaun md	   5
büdingen	   5
trangambariæ	   4
St Georges Grenada	   4
romæ	   4
kiöbenhavn	   4
impresse londo⁻n	   4
basileæ	   4
antverpiæ	   4
amstelædami	   4
zurych	   3
tiguri	   3
taraṅkaṉpāṭiyile	   3
really abroad	   3
queb́ec	   3
port de la liberté	   3
orleans	   3
genevæ	   3
dunleary	   3
corcagiæ	   3
coloniæ	   3
Charlottesville VA	   3
cantabridgiæ	   3
borough	   3
besançon	   3
waterfordiæ	   2
v sanktpeterburgı︠e︡	   2
tübingen	   2
trévoux	   2
taraṅkaṉpāṭi	   2
taraṅkaṉapāṭiyilē	   2
St John New Brunswick	   2
r	   2
providentiae	   2
pace	   2
orléans	   2
northamptoniæ	   2
noribergæ	   2
n	   2
melitæ	   2
lond n	   2
la nouvelle orléans	   2
helsingor	   2
haguæ	   2
hafniæ	   2
gottingue	   2
Europe	   2
dubliniæ	   2
doüay	   2
bononiæ	   2
besanc̜on	   2
au cap français	   2
argraphwŷd yn y mwŷthig	   2
zweibrücken	   1
züllichau	   1
wigorniæ	   1
warum darum westphalie	   1
vvirtsburgh	   1
vindobonæ	   1
venduntur londo⁻n	   1
venales hab⁻etur londo⁻n	   1
venales extant londo⁻n	   1
utopia	   1
united state	   1
tranquebariæ littore coromandelino	   1
tranquebariæ	   1
tranquebaræ littore coromandelino	   1
tigvri	   1
teiotiagi	   1
taraṅkaṉapāṭi	   1
switzerland	   1
stockholmiæ	   1
schesnüt hüll pa	   1
salopiæ	   1
s a	   1
rochell	   1
ramsgatæ	   1
que ciuitate londo⁻n	   1
printẹd lo̧ndon	   1
printedig yn llùndain	   1
preclari pariss suburbiis sc⁻i germani de pratis	   1
port de la liberté guadeloupe an vi	   1
point pitre	   1
philadelphié	   1
permissu superiorum	   1
paslic	   1
oxonié	   1
oxoniaæ	   1
oxonæ	   1
osnabruck	   1
nuper london̄	   1
nulun	   1
nouiter london̄	   1
nouiter londo⁻n	   1
nouiter ac diligenter non minimo labore revis us london̄	   1
nottinghamiæ	   1
noribergae	   1
n l	   1
nîmes	   1
New Bruncwick NJ	   1
neostadii	   1
münster	   1
munster	   1
Montreál	   1
mole saint nicholas	   1
menley	   1
melvill	   1
medioburgi zelandiæ	   1
malmoo	   1
lutetiæ	   1
low countries	   1
lonnen	   1
lóndra	   1
lond oniis	   1
londoniæ	   1
lod⁻on	   1
lobháin	   1
little britain	   1
lincolniæ	   1
la nlle orléans	   1
läncaster pa	   1
lancäster	   1
kemmish	   1
je ne sai ou	   1
iscæ damnoniorum	   1
insula	   1
imprimeál̀ondres	   1
impress um lond ini	   1
impress lond	   1
impressi londōn	   1
impresse lōdonus	   1
imp	   1
illegible	   1
holmiæ	   1
highwayman	   1
heidelbergæ	   1
härrisburg pa	   1
haiti	   1
haidelbergê	   1
hägerstaun märyland	   1
hägers taun hagerstown md	   1
görliz	   1
görlitz	   1
glasgvæ	   1
glasguaæ	   1
glasgoviæ	   1
glascvæ	   1
glascuæ	   1
géneve	   1
fayette ville état de la caroline du nord	   1
exoniæ	   1
exaratus london̄	   1
europ	   1
est londo⁻n	   1
ephratæ	   1
eniscorthy	   1
embdæ	   1
eleutheropolis	   1
Elbl_g	   1
dvbliniæ	   1
dusseldorf	   1
dieser calender ist zu haben lancäster pa	   1
continental	   1
continent	   1
coloniæ agrippinæ	   1
cöllen	   1
ciuitate londo⁻n	   1
cape françois	   1
cantanbrigiæ	   1
cantabrigriæ	   1
cantabrigê	   1
cantabriæ	   1
californien	   1
bwten lonnen	   1
bs l	   1
bostoni nov angliâ	   1
bostoniæ	   1
birminghamæ	   1
bandera mambāı̄	   1
augustæ vind friburg brisg	   1
augustæ vindel friburgi brisg	   1
augustæ	   1
ata so ar na chur gclo mbailé athá cliath	   1
ata so ar na chur gclo mbaile athá cliath	   1
apud prædaram cantabrigiam	   1
anwerpies̃um oppido	   1
antuerpiê	   1
anno aux blackefriers	   1
albigion	   1
aeræ	   1
actually abroad	   1
abredæis	   1
aberdoniê	   1
aberdonié	   1
